Name,City,State/Province,Zip_Code,Address,Phone,Website,Categories,Genres,Capacity,Age_Restriction,Rating,Description,Booking_Info,Facebook,Instagram,Upcoming_Events,Profile_URL,venue_type,lat,lon,Raw_Building_Area_SqFt,Building_Area_SqFt,Multi_Tenant_Flag,heuristic_capacity,Estimated_Capacity,Estimation_Method,Confidence
Timothy's Pub,Toronto,ON,M8W 3T7,"344 Browns Line, Toronto, ON M8W 3T7",,https://www.timothyspub.ca/,"Pub, Music Venue","Acoustic, Blues, Classic Rock, Country, Dance, Funk, R&B, Rock, Singer-Songwriter",,,,"""A true neighborhood pub. Etobicoke’s best live music destination. Sports bar. Traditional pub fare & the best chicken wings in town."" Shows are held 6 nights a week, Tuesday-Sunday, with Tuesdays being reserved for a regular performer.",Requires Premium,https://www.facebook.com/timothyspub.toronto/,https://www.instagram.com/timothyspub,Greg Wyard; The Music Factory (TMF); Greg Wyard; Greg Wyard; The Music Factory (TMF); Greg Wyard; Greg Wyard; Greg Wyard; Greg Wyard; Greg Wyard,https://www.indieonthemove.com/venues/timothys-pub-toronto-ontario,bar,43.6001633,-79.5447958,3067.0,3067.0,False,262.8857142857143,260.0,model,high
GigSpace Performance Studio,Ottawa,ON,K1Y 3E5,"953 Gladstone Avenue, Ottawa, ON K1Y 3E5",,https://www.gigspaceottawa.com/,"Music Venue, Jazz & Blues",Jazz,44.0,,,"""The mandate of GigSpace is to enlighten, inspire, educate and promote music and musicians in a supportive and creative atmosphere. We reach out to our audiences and engage the community through concerts, masterclasses, workshops and music education courses."" Friday and Saturday evening are available for public performances. Friday, Saturday and Sunday afternoons may be available for workshops. GigSpace is usually booked Monday through Thursday with ongoing classes, workshops and rehearsals.",Requires Premium,https://www.facebook.com/GigSpaceOttawa,https://www.instagram.com/GigSpace.Ottawa,,https://www.indieonthemove.com/venues/gigspace-performance-studio-ottawa-ontario,bar,45.4145724,-75.687792,2660.9,2660.9,False,456.1542857142857,44.0,known,known
Warehouse Concert Hall,St. Catharines,ON,L2R 4M2,"11 Geneva Street, St. Catharines, ON L2R 4M2",,https://warehouseconcerthall.com/,Music Venue,All Genres,190.0,,,"""Warehouse Concert Hall is a multi-use concert and event space, located centrally in downtown St. Catharines. Opened in April 2017, Warehouse is the Niagara Region’s only dedicated live music venue, and is a perfect space for concerts, private parties, functions, DJ nights, video recording, fundraisers and more."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/warehouseconcerthall,https://www.instagram.com/warehouseconcerthall,Paitra; PRRR; KryOGeniX; The OBGMs; Gutter King; The Downcast; The Free Label; Texas King; Bleeker; Born In The Eighties,https://www.indieonthemove.com/venues/warehouse-concert-hall-st-catharines-ontario,theatre,43.1603583,-79.2402534,1221.9,1221.9,False,104.73428571428572,190.0,known,known
Algonquin College,Ottawa,ON,K2G 1V8,"1385 Woodroffe Avenue, Ottawa, ON K2G 1V8",,https://www.algonquinsa.com/,College/University,All Genres,,,,,Requires Premium,https://www.facebook.com/AlgonquinSA/,https://www.instagram.com/sa_algonquin,,https://www.indieonthemove.com/venues/algonquin-college-ottawa-ontario,venue,45.3501761,-75.7565679,62192.0,15548.0,True,932.8799999999999,715.0,model,medium
The Studio,Hamilton,ON,L8P 4Y2,"1 Summers Lane, Hamilton, ON L8P 4Y2",,https://www.firstontarioconcerthall.ca/venues/detail/the-studio,Music Venue,All Genres,550.0,,,"""An intimate, versatile space within Hamilton’s premier performing arts center, The Studio is available for concerts and live shows as well as for TV, film and photography projects."" They host a varied amount of shows per month, about once a week on average. Shows generally fall on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/FirstOntarioConcertHall,,Madeleine Peyroux; Joy Clark; Barak Mori; Anthony Rodia; Shaylyn; Josh Thomas; Highwaymen Show,https://www.indieonthemove.com/venues/the-studio-hamilton-ontario,venue,43.2562292,-79.8725026,217297.9,54324.5,True,3259.47,550.0,known,known
Options Jazz Lounge at Brookstreet,Ottawa,ON,K2K 2W2,"525 Legget Drive, Ottawa, ON K2K 2W2",,https://www.brookstreethotel.com/options-jazz-lounge,"Music Venue, Bar, Jazz & Blues",Jazz,,19+,,"""An integral part of the Brookstreet boutique hotel vibe, experience Options Jazz Lounge; the best jazz bar Ottawa has to offer. Fill your ears with live local jazz music and tantalize your taste buds with the culinary creations by Chef Clifford Lyness."" They host live Jazz 7 nights a week.",Requires Premium,https://www.facebook.com/Brookstreet/timeline/,https://www.instagram.com/brookstreetott/,,https://www.indieonthemove.com/venues/options-jazz-lounge-at-brookstreet-ottawa-ontario,bar,45.3480689,-75.9175873,49814.9,12453.7,True,2134.92,490.0,model,medium
Chateau Lafayette,Ottawa,ON,K1N 5S6,"42 York Street, Ottawa, ON K1N 5S6",,https://www.thelaff.ca/,"Bar, Music Venue, Pub","Acoustic, Blues, Classic Rock, Country, Funk, Jazz, Singer-Songwriter",,19+,,"""Ottawa's Oldest Tavern, since 1849."" They host host live music Monday-Sunday with most nights being reserved for regular performers. They do host open mic on Tuesday nights and revolving local bands on Thursday nights. The last Sunday of the month is reserved for the best performers from the open mic.",Requires Premium,https://www.facebook.com/thelaffottawa,https://www.instagram.com/thelaffottawa,John Allaire; Ron Leary; John Allaire,https://www.indieonthemove.com/venues/chateau-lafayette-ottawa-ontario,bar,45.4277698,-75.6932149,1641.0,1641.0,False,281.3142857142857,145.0,model,high
Fourth Stage,Ottawa,ON,K1P 5W1,"1 Elgin Street, Ottawa, ON K1P 5W1",,https://nac-cna.ca/en/venue/fourth-stage,"Music Venue, Rental","Blues, Chamber, Classical, Country, Electronic, Folk, Jazz, Pop, Roots Music, Singer-Songwriter",150.0,14+,,"""With its long, street-level windows and cabaret seating, The Fourth Stage is the NAC’s home of discovery and community. The Fourth Stage offers an intimate setting, coupled with the National Art Centre’s exceptional sound and lighting. Every year it hosts hundreds of emerging music concerts, speakers, and community events."" They host events any day of the week.",Requires Premium,https://www.facebook.com/CanadasNAC.CNAduCanada,https://instagram.com/NAC.CNA,MIINA; The Battle of Santiago; Kazdoura,https://www.indieonthemove.com/venues/fourth-stage-ottawa-ontario,bar,45.4231581,-75.6938293,152000.4,38000.1,True,6514.302857142857,150.0,known,known
Kemptville Street Piano,Kemptville,ON,K0G 1J0,"1 Water Street, Kemptville, ON K0G 1J0",,,"Park, Music Venue, Seasonal","Acoustic, Singer-Songwriter",,,,"""Kemptville's Street Piano, a public piano with a concert series, creative events and so much music!"" Performances take place on Saturdays during the summer months.",Requires Premium,https://www.facebook.com/KemptvilleStreetPiano,https://www.instagram.com/kemptville.street.piano/,,https://www.indieonthemove.com/venues/kemptville-street-piano-kemptville-ontario,bar,45.0163271,-75.6459401,12002.7,3000.7,True,257.2028571428571,285.0,model,medium
Ottawa Chamberfest,Ottawa,ON,K2P 0W7,"4 Florence Street, Ottawa, ON K2P 0W7",,https://www.chamberfest.com/summer-festival/,Music Festival,"Chamber, Classical",,,,"""Ottawa Chamberfest has been sharing music for 30 years now. We’ve grown from a small summer festival to a year-round arts organization."" The festival takes place from late July to early August each year. The also host several music series' throughout the year.",Requires Premium,https://www.facebook.com/ottawachamberfest,https://www.instagram.com/chamberfest/,,https://www.indieonthemove.com/venues/ottawa-chamberfest-ottawa-ontario,festival,45.4125792,-75.6942438,9505.6,9505.6,False,570.336,325.0,model,high
Beaches Jazz Festival,Toronto,ON,M4L 1G8,"1798 Queen Street, Toronto, ON M4L 1G8",,https://www.beachesjazz.com/,Music Festival,"All Genres, Jazz",,,,"""The Beaches International Jazz Festival is a month-long music festival held each year in the lakeside Beaches community of Toronto in July. It's now one of Canada's largest free jazz festivals with nearly 1,000,000 attendees, throughout its month-long span. The Festival takes place across a number of venues; stage concerts are held in several different parks within the area and also along a two kilometre stretch of the Beach mainstreet during StreetFest - Queen Street East.""",Requires Premium,https://www.facebook.com/beachesjazz/,https://www.instagram.com/beachesjazz/,,https://www.indieonthemove.com/venues/beaches-jazz-festival-toronto-ontario,festival,43.667891,-79.3102044,1113.0,1113.0,False,66.78,215.0,model,high
Wintersong Music Festival,Stouffville,ON,L4A 0A1,"Stouffville, ON L4A 0A1",,https://wintersong.ca/,Music Festival,All Genres,,,,"""100+ Bands, 18+ Venues FREE TO ATTEND Industry Panels, Musical Gear Swap, Silent Disco, Free Shuttle Bus, Youth Stage + more."" The festival takes place in January.",Requires Premium,https://www.facebook.com/wintersongfest,https://www.instagram.com/wintersongfest/,,https://www.indieonthemove.com/venues/wintersong-music-festival-stouffville-ontario,festival,43.9717581,-79.2454446,10456.9,10456.9,False,627.414,505.0,model,high
Toronto Jazz Festival,Toronto,ON,M4X 1L8,"Toronto, ON M4X 1L8",,https://torontojazz.com/,Music Festival,"Blues, Funk, Hip Hop, Jazz, Latin, R&B",,,,"""10-day music festival in downtown Toronto."" The festival takes place in mid to late June.",Requires Premium,https://www.facebook.com/torontojazzfest,https://www.instagram.com/torontojazzfest/,,https://www.indieonthemove.com/venues/toronto-jazz-festival-toronto-ontario,festival,43.6534817,-79.3839347,133540.6,33385.2,True,4006.2239999999997,205.0,model,medium
The Broom Factory,Kingston,ON,K7K 3A9,"305 Rideau Street, Kingston, ON K7K 3A9",,https://www.broomfactory.ca/,Music Venue,All Genres,225.0,,,"""A community hub in Kingston’s Inner Harbour serving film, music, design and the arts."" While most shows take place Thursday-Saturday nights, they can be held any night of the week.",Requires Premium,,https://www.instagram.com/broomfactorykingston/,Old Man Luedecke; Marlo Green; The Deep Dark Woods; Cancer Bats; chastity; TEETH; ANCIIENTS; Haley Heynderickx; Max García Conover; Dead Root Revival,https://www.indieonthemove.com/venues/the-broom-factory-kingston-ontario,venue,44.2419501,-76.4833163,6613.0,6613.0,False,396.78,225.0,known,known
Mixto Festival,Toronto,ON,M6H 3T8,"Toronto, ON M6H 3T8",,https://www.mixtofestival.com/,Music Festival,"All Genres, World",,,,"""Mixto Festival celebrates a truly intercultural city. It brings together communities, cultures and contemporary experiences in a uniquely celebratory format that avoids presenting “world music” as a static or exotic experience."" The festvial takes place in mid July.",Requires Premium,https://www.facebook.com/mixtofestival,https://www.instagram.com/mixtofestival,,https://www.indieonthemove.com/venues/mixto-festival-toronto-ontario,festival,43.6534817,-79.3839347,133540.6,33385.2,True,4006.2239999999997,205.0,model,medium
Pubwells,Ottawa,ON,K1R 7P2,"96 Preston Street, Ottawa, ON K1R 7P2",,https://www.pubwells.com/,"Music Venue, Pub","Bluegrass, Classic Rock, Jazz",,19+,,"""Established in 1991, Pubwells is a cozy take on a traditional British Pub. Located in the Little Italy neighborhood of Ottawa, we make sure that if you’re looking for a night of fun and entertainment, we’re the place you’re going to want to be! From the music to the carefully curated list of drinks, from our homemade pizzas and burgers to our homey and cozy decor, our incredible staff proudly craft a unique experience for our guests."" They host live music on Thursday and Saturday nights.",Requires Premium,https://www.facebook.com/pubwells/,https://www.instagram.com/pubwells.ottawa,,https://www.indieonthemove.com/venues/pubwells-ottawa-ontario,bar,45.4088742,-75.7147178,1216.0,1216.0,False,104.22857142857143,140.0,model,high
Bowie's,Smiths Falls,ON,K7A 1E8,"20 Russell Street East, Smiths Falls, ON K7A 1E8",,https://bowiessmithsfalls.com/,"Bar, Music Venue, Open Mic","Acoustic, Singer-Songwriter",,19+,,"""Est 2019, Bowie's is a great place to catch a show in Smiths Falls, Ontario. A modern neighborhood bar, and welcoming hub for visitors, they offer a long list of regional craft beers, cocktails, and espresso."" They host open stage on Thursday nights, shows on Friday nights (sometimes Saturday nights), and a songwriter series on the third Sunday of each month.",Requires Premium,https://www.facebook.com/bowiessmithsfalls,https://www.instagram.com/sfbowies/,Rory Taillon; Craig Cardiff; Craig Cardiff; Rory Taillon,https://www.indieonthemove.com/venues/bowies-smiths-falls-ontario,bar,44.9016495,-76.0201195,2090.9,2090.9,False,179.22,65.0,model,high
Deacon Brodies Pub,Ottawa,ON,K2P 0G1,"247 Elgin Street, Ottawa, ON K2P 0G1",,https://deaconbrodies.ca/,"Pub, Music Venue, Bar","Acoustic, Singer-Songwriter",,19+,,"""Ottawa Scottish Pub with over 400 whiskies, daily specials, live music, and monthly scotch tastings!"" Shows are held Thursday-Saturday nights.",Requires Premium,https://www.facebook.com/deaconspub,https://www.instagram.com/deaconspub,,https://www.indieonthemove.com/venues/deacon-brodies-pub-ottawa-ontario,bar,45.4184795,-75.6907046,11387.6,2846.9,True,488.04,210.0,model,medium
Heart & Crown - Preston,Ottawa,ON,K1S 1V6,"353B Preston Street, Ottawa, ON K1S 1V6",,https://heartandcrown.pub/location/preston/,"Music Venue, Pub","Acoustic, Celtic, Classic Rock, Country, Folk, Irish, Pop, Rock, Singer-Songwriter, Top 40",,19+,,"""The most beautiful pub in the city with rich mahogany wood, a circular copper bar and all imported tables and chairs makes this pub truly inspired by Ireland. The copper throughout the restaurant gives a glowing effect through the night. Join us for a drink on Preston Street’s largest patio or pop in for live music performed by some of Ottawa’s finest musicians."" Shows are held Wednesday-Saturday nights. Browse additional Heart & Crown locations.",Requires Premium,https://www.facebook.com/HeartandCrownPreston/,https://www.instagram.com/heartandcrown,,https://www.indieonthemove.com/venues/heart-crown-preston-ottawa-ontario,bar,45.4014625,-75.7097784,36634.1,9158.5,True,1570.0285714285712,490.0,model,medium
The Union,Kitchener,ON,N2G 3V2,"124 Sydney Street South, Kitchener, ON N2G 3V2",,https://www.theunionkw.com/,Music Venue,All Genres,,,,"""Kitchener's multi-purpose arts hub, hosting concerts, community events, showcases, and multimedia collaborations."" Shows can be held any night of the week.",Requires Premium,,https://www.instagram.com/nofuneral.online/,Castle; 027,https://www.indieonthemove.com/venues/the-union-kitchener-ontario,restaurant,43.4385854,-80.4728914,4664.7,4664.7,False,186.588,110.0,model,high
Canadian Lakehead Exhibition,Thunder Bay,ON,P7C 2V7,"425 North Ave., Thunder Bay, ON P7C 2V7",,https://www.cle.on.ca/,Music Festival,All Genres,,,,"""The Canadian Lakehead Exhibition is an Annual Family Fair which takes place in August for 5 days from Noon to Midnight. It is deemed to be the largest Fair in all of Northwestern Ontario. The fair offers a variety of activities, entertainment and many other events during the afternoon and evening."" The fair takes place in early to mid August.",Requires Premium,https://www.facebook.com/profile.php?id=100063633695972,,,https://www.indieonthemove.com/venues/canadian-lakehead-exhibition-thunder-bay-ontario,festival,50.1818993,-86.7128995,35612.3,35612.3,False,2136.7380000000003,245.0,model,high
Wayland Bar & Grill,Thunder Bay,ON,P7E 3T2,"1019 Gore Street, Thunder Bay, ON P7E 3T2",,,"Bar, Restaurant, Music Venue","All Genres, Rock",100.0,19+,,"""Wayland Bar & Grill has been the heart and soul of Westfort for over 75 years."" They host live music on Friday and Saturday nights.",Requires Premium,https://www.facebook.com/waylandbarandgrill/,https://www.instagram.com/waylandbargrill/,,https://www.indieonthemove.com/venues/wayland-bar-grill-thunder-bay-ontario,bar,48.3640742,-89.297923,2275.5,2275.5,False,195.04285714285714,100.0,known,known
Red Lion Smokehouse,Thunder Bay,ON,P7B 2T2,"16 Cumberland Street South, Thunder Bay, ON P7B 2T2",,,"Pub, Music Venue","Acoustic, Pop, Singer-Songwriter, Soft Rock",130.0,,,"""Red Lion Smokehouse is a barbecue restaurant and smokehouse in Thunder Bay’s waterfront district. We love great food and good beer so we created a place where you can enjoy both."" They host live music on Friday nights.",Requires Premium,https://www.facebook.com/redlionsmokehouse,https://www.instagram.com/redlionsmokehouse/,,https://www.indieonthemove.com/venues/red-lion-smokehouse-thunder-bay-ontario,bar,48.434423,-89.2200468,1235.3,1235.3,False,105.88285714285713,130.0,known,known
Dragon's Den Sports Bar & Grill,Thunder Bay,ON,P7B 5J4,"1010 Dawson Road, Thunder Bay, ON P7B 5J4",,,"Bar, Music Venue","Acoustic, Classic Rock, Country, DJ, Pop, Rock",,19+,,This sports bar hosts most live music and/or DJs on Friday and Saturday nights. Acoustic performances are also possible during the week.,Requires Premium,https://www.facebook.com/dragonsdensbar/,,,https://www.indieonthemove.com/venues/dragons-den-sports-bar-grill-thunder-bay-ontario,bar,48.4518126,-89.2510501,46518.7,11629.7,True,996.8314285714287,565.0,model,medium
Phog Lounge,Windsor,ON,N9A 5P4,"157 University Avenue West, Windsor, ON N9A 5P4",,,"Music Venue, Bar",All Genres,60.0,19+,,"""Phog Lounge is an intimate bar located at 157 University Ave. W."" Shows can be held any night of the week.",Requires Premium,https://www.facebook.com/phoglounge/,https://www.instagram.com/phoglounge/,Laveda; Lock Smith; Dyse,https://www.indieonthemove.com/venues/phog-lounge-windsor-ontario,bar,42.3170209,-83.0405263,2081.3,2081.3,False,178.39714285714285,60.0,known,known
Harmony Music Hall,Vandorf,ON,L0H 1G0,"14663 Woodbine Avenue, Vandorf, ON L0H 1G0",,https://harmonymusichall.ca/,"Music Venue, Open Mic",All Genres,210.0,,,"""Nestled in the heart of York Region, Harmony Hall is a unique live music venue housed in a beautifully restored 103-year-old town hall. Located at 14663 Woodbine Avenue in Vandorf, Ontario, this one-of-a-kind destination combines historic charm with modern amenities, offering unforgettable experiences for both artists and audiences."" Most shows take place Thursday-Saturday nights with open stage on Sunday nights.",Requires Premium,https://www.facebook.com/profile.php?id=61563618565183,https://www.instagram.com/harmonymusichall,Great Lake Swimmers; Lauren Dillen; Amy Millan,https://www.indieonthemove.com/venues/harmony-music-hall-vandorf-ontario,venue,44.0026024,-79.392162,4334.0,4334.0,False,260.04,210.0,known,known
Dina's Tavern,Toronto,ON,M5S2H1,"486 Spadina Avenue, Toronto, ON M5S2H1",,https://www.dinastavern.com/,"Music Venue, Bar",All Genres,,19+,,They can host live music any night of the week.,Requires Premium,https://www.facebook.com/profile.php?id=61579176147960,https://www.instagram.com/dinastavern/,,https://www.indieonthemove.com/venues/dinas-tavern-toronto-ontario,bar,43.6470505,-79.3957799,7586.9,7586.9,False,1300.6114285714284,440.0,model,high
The Aulde Dubliner & Pour House,Ottawa,ON,K1N 7A3,"62 William Street, Ottawa, ON K1N 7A3",,https://heartandcrown.pub/location/the-aulde-dubliner-pour-house/,"Music Venue, Pub","Acoustic, Celtic, Classic Rock, Country, Folk, Irish, Pop, Rock, Singer-Songwriter, Top 40",,19+,,"""The first thing you’ll notice at the Aulde Dubliner & Pour House is the look and feel; hand-crafted and built in Ireland, it is a truly authentic two-story Irish pub. Outside you will find beautifully carved wood adorned with gold leaf, 2 patios and a mezzanine balcony overlooking the gateway to the historic ByWard Market."" Shows are held Wednesday-Saturday nights as well as on holidays. This venue is affiliated with the Heart & Crown locations.",Requires Premium,https://www.facebook.com/AuldeDubliner/,https://www.instagram.com/auldedubliner/,,https://www.indieonthemove.com/venues/the-aulde-dubliner-pour-house-ottawa-ontario,bar,45.426903,-75.6916429,2324.8,2324.8,False,398.5371428571429,135.0,model,high
Heart & Crown - Barrhaven,Ottawa,ON,K2J 5N1,"3161 Strandherd Drive #300, Ottawa, ON K2J 5N1",,https://heartandcrown.pub/location/barrhaven/,"Music Venue, Pub","Acoustic, Celtic, Classic Rock, Country, Folk, Irish, Pop, Rock, Singer-Songwriter, Top 40",,19+,,"""The Heart & Crown Barrhaven is an authentic Irish pub offering the very best in live music & sporting events, a vast list of draft and bottled beers and hearty, Irish inspired dishes to satisfy your hunger. Conveniently located at Strandherd Crossing, the Heart & Crown is nestled in the heart of this growing suburban neighborhood."" Shows are held on Friday and Saturday nights as well as on holidays. Browse additional Heart & Crown locations.",Requires Premium,https://www.facebook.com/HeartandCrownBarrhaven/,https://www.instagram.com/heartandcrown/,,https://www.indieonthemove.com/venues/heart-crown-barrhaven-ottawa-ontario,bar,45.2741382,-75.7190423,5643.8,1411.0,True,120.94285714285715,125.0,model,medium
Heart & Crown - Byward,Ottawa,ON,K1N 5P5,"67 Clarence Street, Ottawa, ON K1N 5P5",,https://heartandcrown.pub/location/byward/,"Music Venue, Pub","Acoustic, Celtic, Classic Rock, Country, Folk, Irish, Pop, Rock, Singer-Songwriter, Top 40",,19+,,"""The Heart & Crown, in Ottawa’s historic ByWard Market, consists of 5 pubs under 1 roof with 6 patios that make-up what is locally known as Ottawa’s Irish Village. Featuring Irish-inspired dishes, live music daily and domestic & international sporting events; there’s a little something for everybody. A favourite amongst the Irish community, the Heart & Crown is amongst Ottawa’s best known watering holes."" Browse additional Heart & Crown locations.",Requires Premium,https://www.facebook.com/heartandcrownbyward/,https://www.instagram.com/heartandcrown,,https://www.indieonthemove.com/venues/heart-crown-byward-ottawa-ontario,bar,45.4291355,-75.6935161,3629.3,3629.3,False,311.0828571428571,150.0,model,high
Art House,Ottawa,ON,K1R 6A1,"555 Somerset Street West, Ottawa, ON K1R 6A1",,https://www.thearthousecafe.ca/,"Music Venue, Cafe, Art Gallery, Bar, Open Mic",All Genres,,,,"""Experience the Ottawa arts community in this unique cafe, bar, and gallery! Hosting live shows, special exhibitions, and serving quality food and drinks day and night."" They host open mic on Monday nights and shows Thursday-Saturday nights with the first Saturday of each month being reserved for Jazz.",Requires Premium,https://www.facebook.com/arthousecafe613/,https://www.instagram.com/arthousecafe613/,Ethan Mitchell,https://www.indieonthemove.com/venues/art-house-ottawa-ontario,bar,45.413069,-75.7024163,1622.1,1622.1,False,139.03714285714284,80.0,model,high
